"","city","floor","total_area","living_area","kitchen_area","room_count","height","is_studio","view_airport","view_building","view_city","view_cottages","view_east","view_field","view_forest","view_garden","view_highway","view_house","view_mall","view_north","view_parking","view_playground","view_school","view_south","view_street","view_water","view_west","view_yard","total_price"
"2","Челябинск",6,43.17,26.08,5,2,"2.64","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2244580
"6","Екатеринбург",22,66.95,36.19,15.43,3,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4418700
"8","Нижний Новгород",11,45.15,17.9,15.3,1,"2.9","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3986745
"14","Самара",5,42.6,17.4,12.1,1,"2.54","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2214000
"15","Краснодар",18,58.9,29.8,12.9,2,"2.77","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6744050
"16","Екатеринбург",6,26.23,12.62,4.49,1,"2.64","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3750890
"19","Краснодар",14,42.5,25.9,4.8,2,"2.77","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5440000
"20","Чебоксары",11,61.46,28.39,14.51,2,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839452
"22","ПГТ Медведево",2,40.96,17.1,12.5,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1587000
"23","Ставрополь",18,39.1,13.6,14.3,1,"2.8","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932500
"29","Челябинск",7,45.45,26.15,5.3,2,"2.6","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1871404
"30","Новосибирск",6,40.69,15.67,14.43,1,"2.72","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5208320
"31","Йошкар-Ола",8,38.36,18.93,8.74,1,"2.7","0",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1933344
"32","Новосибирск",25,44.86,17,14.6,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2772348
"33","Нижний Новгород",18,129.5,97.9,13,1,"3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16370300
