"","city","count"
"1","Архангельск",56
"2","Батайск",432
"3","Белгород",93
"4","Великий Новгород",128
"5","Верхняя Пышма",428
"6","Владивосток",502
"7","Владимир",240
"8","Екатеринбург",4726
"9","Железногорск",120
"10","Ижевск",2187
"11","Йошкар-Ола",933
"12","Казань",865
"13","Киров",280
"14","Краснодар",2315
"15","Красноярск",180
"16","Лиски",73
"17","Нижний Новгород",3295
"18","Новосибирск",1224
"19","Новочебоксарск",182
"20","Орел",352
"21","ПГТ Медведево",1520
"22","Пермь",774
"23","Ростов на дону",322
"24","Самара",2477
"25","Саранск",361
"26","Саратов",880
"27","Сокуры",320
"28","Ставрополь",991
"29","Тула",662
"30","Тюмень",6733
"31","Уфа",338
"32","Чебоксары",2998
"33","Челябинск",1813
