"","riser","count"
"1","01.авг",237
"2","01.апр",330
"3","01.дек",96
"4","01.июл",237
"5","01.июн",222
"6","01.июнь",10
"7","01.май",316
"8","01.мар",362
"9","01.март",10
"10","01.ноя",192
"11","01.окт",196
"12","01.сен",178
"13","01.фев",267
"14","01.февр",10
"15","01.янв",376
"16","02.авг",31
"17","02.апр",128
"18","02.июл",52
"19","02.июн",52
"20","02.июнь",10
"21","02.май",82
"22","02.мар",147
"23","02.март",10
"24","02.ноя",7
"25","02.окт",8
"26","02.сен",31
"27","02.фев",160
"28","02.февр",10
"29","02.янв",168
"30","03.апр",113
"31","03.июн",35
"32","03.май",50
"33","03.мар",114
"34","03.фев",120
"35","03.янв",118
"36","04.апр",35
"37","04.май",19
"38","04.мар",36
"39","04.фев",35
"40","04.янв",37
"41","05.авг",13
"42","05.апр",17
"43","05.июл",7
"44","05.июн",7
"45","05.май",24
"46","05.мар",23
"47","05.сен",14
"48","05.фев",24
"49","05.янв",22
"50","06.апр",9
"51","06.июн",9
"52","06.май",9
"53","06.мар",9
"54","06.фев",9
"55","06.янв",9
"56","1",1321
"57","1,1",34
"58","1,11",32
"59","1,12",32
"60","1,13",32
"61","1,2",34
"62","1,3",34
"63","1,4",32
"64","1,6",2
"65","1,7",32
"66","1,8",34
"67","1.1",754
"68","1.10",180
"69","1.11",113
"70","1.12",68
"71","1.13",71
"72","1.14",20
"73","1.15",20
"74","1.16",5
"75","1.17",4
"76","1.2",712
"77","1.3",702
"78","1.4",727
"79","1.5",643
"80","1.6",544
"81","1.7",351
"82","1.8",316
"83","1.9",276
"84","10",878
"85","11",609
"86","12",758
"87","13",729
"88","14",555
"89","15",462
"90","16",323
"91","17",347
"92","18",350
"93","19",294
"94","2",1285
"95","2.1",605
"96","2.10",134
"97","2.11",20
"98","2.12",57
"99","2.13",26
"100","2.14",18
"101","2.15",17
"102","2.2",599
"103","2.3",589
"104","2.4",570
"105","2.5",503
"106","2.6",408
"107","2.7",271
"108","2.8",227
"109","2.9",194
"110","20",172
"111","21",134
"112","22",133
"113","23",77
"114","24",74
"115","25",76
"116","26",53
"117","27",93
"118","28",13
"119","29",53
"120","3",1083
"121","3.1",368
"122","3.2",388
"123","3.3",377
"124","3.4",332
"125","3.5",248
"126","3.6",182
"127","3.7",89
"128","3.8",28
"129","3.9",32
"130","4",1067
"131","4.1",220
"132","4.12",8
"133","4.2",191
"134","4.3",207
"135","4.4",189
"136","4.5",149
"137","4.6",47
"138","4.7",20
"139","4.8",21
"140","4.9",21
"141","44198",7
"142","44229",7
"143","44230",18
"144","44257",7
"145","44258",18
"146","44288",7
"147","44289",18
"148","44318",8
"149","44319",18
"150","44349",8
"151","44350",5
"152","44380",1
"153","5",1203
"154","5.1",158
"155","5.12",8
"156","5.2",149
"157","5.3",142
"158","5.4",123
"159","5.5",97
"160","5.6",80
"161","5.7",36
"162","5.8",46
"163","5.9",47
"164","6",991
"165","6.1",116
"166","6.10",13
"167","6.11",13
"168","6.2",116
"169","6.3",100
"170","6.4",99
"171","6.5",94
"172","6.6",60
"173","6.7",44
"174","6.8",37
"175","6.9",37
"176","7",1129
"177","7.1",28
"178","7.2",26
"179","7.3",8
"180","7.4",8
"181","7.5",8
"182","7.6",11
"183","8",1115
"184","8.1",18
"185","8.2",18
"186","8.6",11
"187","9",1274
"188","NULL",3603
